X...,X.....,X.......,X......1,X......2,X....,X....1,X..,X....2,X.....1
F,Am,C,C,C,Dm7,Am,Em,C,C
Em7,Em,Em,G/B,C/B,Am,F,D,Am,Em7
Dm,F,Am,Am,Am7,Dm7,G,C,F,Am7
C,G,F,Em,C/G,Am,C,G/B,G,Em/G
F,C,C,Fmaj7,C/F,F,Am,Am7,Em,C
Em7,G/B,Em,G,C/E,C,F,B7,Am,Em7
Dm,Am,Am,C,Dm7,Dm7,G,Em,F,F
C,Em,F,Am,G5,G,C,B7,G,G
C7,F,C,Dm7,C,Dm7,Am,Em,C,C
F,G,Em,Fmaj7,C/B,Am,F,D,Am,Em7
G,Am,Am,Gsus4,Am7,Dm7,G,C,F,Am7
Em,Em,F,G,C/G,Am,C,G/B,G,Em/G
Am,F,Dm7,C,C/F,F,Am,Am7,Em,C
Dm7,G,G,G/B,C/E,C,F,B7,Am,Em7
G,C,Dm7,Am,Dm7,Dm7,G,Em,F,F
C,G/B,G,Em,G5,G,G,Em,G,G
C7,Am,G,Fmaj7,C,F,Am,D,C,Gm
F,Em,C,G,C/B,G,F,C,Am,F
G,F,Em,C,Am7,Em,G,G/B,F,Dm7
Em,Fm,Am,Am,C/G,Am,C,Am7,G,Fm
Am,G,Fm,Dm7,C/F,Dm7,Am,B7,C,Gsus4
Dm7,G,G,Fmaj7,C/E,G,F,Em,,G
G,F,C,G,Am7,C,G,Em,,C
F,G,Em,C,Dm7,C7,C,D,,G/B
Em,Em,Am,Fmaj7,C/E,,Am,C,,Am
Dm,Am,Fm,G,C/F,,F,G/B,,G
C,Dm7,G,C,G,,G,Am7,,F
,G,C,Am,C,,C,B7,,C/E
,C,Em,Em,C/B,,Am,Em,,Dm7
,C7,Am,Fmaj7,Am7,,F,Em,,G
,F,Fm,G,Gm7,,G,D,,C
,G,G,C,C7,,C,C,,
,Em,C,Fmaj7,Fmaj7,,Am,G/B,,
,Am,,G,C/E,,F,Am7,,
,Dm7,,C,Am7,,G,B7,,
,G,,Am,Dm7,,C,Em,,
,C,,Em,C/E,,Am,Em,,
,C7,,Fmaj7,Bb,,F,D,,
,F,,G,F/A,,G,C,,
,G,,C,G,,C,G/B,,
,Em,,,C,,Am,Am7,,
,Am,,,,,F,B7,,
,Fm,,,,,G,Em,,
,Dm,,,,,C,,,
,G,,,,,Dm7,,,
,C,,,,,G,,,
,,,,,,C,,,
